"sys_pk","sys_timestamp","sys_guid","sys_dtcreated","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_info","codigo","descripcion","tcambio","sys_recver","sys_deleted","sys_lock"
"50","2016-01-01 12:00:00","832759b2f87c47b7b93eb1dc2db13b64","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"GMD","Dalasi gambiano","1.00000000","0",\N,\N
"51","2016-01-01 12:00:00","0bfbd026d8d5405aa3c4774e0ac90e84","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"GNF","Franco guineano","1.00000000","0",\N,\N
"52","2016-01-01 12:00:00","e44cc24810d9404593c501d28ec85106","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"GTQ","Quetzal guatemalteco","1.00000000","0",\N,\N
"53","2016-01-01 12:00:00","dd84a840211442a6911a605b05ce41bf","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"GYD","Dólar guyanés","1.00000000","0",\N,\N
"54","2016-01-01 12:00:00","780c096c7d8d43899671b58f5a065a78","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"HKD","Dólar de Hong Kong","1.00000000","0",\N,\N
"55","2016-01-01 12:00:00","17b573d28a5d45b592a2bc9597bf2efa","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"HNL","Lempira hondureño","1.00000000","0",\N,\N
"56","2016-01-01 12:00:00","4b52a452b3e743aa8453876f056ef935","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"HRK","Kuna croata","1.00000000","0",\N,\N
"57","2016-01-01 12:00:00","debce89631694df891f6c54751ba3185","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"HTG","Gourde haitiano","1.00000000","0",\N,\N
"58","2016-01-01 12:00:00","cc1be37360fe4ec180b18f38e3a52a50","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"HUF","Forint húngaro","1.00000000","0",\N,\N
"59","2016-01-01 12:00:00","6ab6ee3684b84befa3bb59a22f4a63bb","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"IDR","Rupiah indonesia","1.00000000","0",\N,\N
"60","2016-01-01 12:00:00","bfa436f7cda643c688950a993c18300e","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"ILS","Nuevo shéquel israelí","1.00000000","0",\N,\N
"61","2016-01-01 12:00:00","d2efed142df1481caaf643ae00875497","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"INR","Rupia india","1.00000000","0",\N,\N
"62","2016-01-01 12:00:00","91f9b97ef3da40a08cc2187a8e2a6fd0","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"IQD","Dinar iraquí","1.00000000","0",\N,\N
"63","2016-01-01 12:00:00","24c0e663b54f49deb0c4b6e6fc0afcae","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"IRR","Rial iraní","1.00000000","0",\N,\N
"64","2016-01-01 12:00:00","3957468415494f53ba09c9242e115a91","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"ISK","Króna islandesa","1.00000000","0",\N,\N
"65","2016-01-01 12:00:00","34e871c0fa3f43909229216df6a292c2","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"JMD","Dólar jamaicano","1.00000000","0",\N,\N
"66","2016-01-01 12:00:00","3f865f6968bc47ba8ed3fe59b4abba4c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"JOD","Dinar jordano","1.00000000","0",\N,\N
"67","2016-01-01 12:00:00","7d0eb25e42b64a339213d6ec5ae3471f","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"JPY","Yen japonés","1.00000000","0",\N,\N
"68","2016-01-01 12:00:00","77ede358aa474294be1ffa7eb2f7d6dd","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"KES","Chelín keniata","1.00000000","0",\N,\N
"69","2016-01-01 12:00:00","d2702686aa1e4ed2abf1f50b0ab2ccb8","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"KGS","Som kirguís (de Kirguistán)","1.00000000","0",\N,\N
"70","2016-01-01 12:00:00","30881387ea2f43dfbfa026c4e10a3795","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"KHR","Riel camboyano","1.00000000","0",\N,\N
"71","2016-01-01 12:00:00","62e92e5245694df69395e93f09dec8a5","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"KMF","Franco comoriano (de Comoras)","1.00000000","0",\N,\N
"72","2016-01-01 12:00:00","f54f7f3b507346ce9e851993e602c93d","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"KPW","Won norcoreano","1.00000000","0",\N,\N
"73","2016-01-01 12:00:00","7693624607aa44a69b7eb80422bbf822","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"KRW","Won surcoreano","1.00000000","0",\N,\N
"74","2016-01-01 12:00:00","11684fd259cb489b97eda0530dd59e64","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"KWD","Dinar kuwaití","1.00000000","0",\N,\N
